publishedAt,view_count,comment_count,title,video_id
2025-04-17T04:29:22Z,408091,319,🏫🌸🏫🌸#RIKU #YUSHI #JAEHEE #NCTWISH #poppop #NCTWISH_poppop #poppop프로덕션,XGBAr--fMuM
2025-04-17T02:00:44Z,89193,73,(KR/ENG) NCT WISH (엔시티 위시) 메시지가 도착했어요💌 [Original] SUMBAKKOKJIL(숨바꼭질),n4Agd-6kNpo
2025-04-17T01:33:06Z,747,3,nct wish ‘poppop’ | MV REACTION,1XGDVE3PpDc
2025-04-17T01:19:27Z,736,0,NCT WISH | 1000 | WISHZEN KARAOKE,FD53ae6IqMI
2025-04-17T00:56:01Z,1361,6,NCT WISH - Silly Dance (Traducida al Español),v3jWaNGbNMA
2025-04-16T23:27:52Z,13115,9,Unboxing NCT WISH - poppop album photobook ver.,kOODX9JksY4
2025-04-16T23:21:28Z,8346,3,Unboxing NCT WISH - poppop album jewel ver.,eFNwmHz-iBI
2025-04-16T18:32:09Z,5011,8,NCT WISH - 1000 (Traducida al Español),ZFtv3tPeTso
2025-04-16T17:55:03Z,19842,36,[NCT WISH 재희] 압박면접 받는 대영이 모음zip.,H4YcivzB3sQ
2025-04-16T17:30:36Z,19468,16,NCT WISH(엔시티 위시) - 1000 Lyrics [영어가사_한국어발음_한국어번역] [Color Coded_Han_Rom_Eng],x94mkbPhjrs
2025-04-16T17:05:21Z,234,0,NCT WISH &#39;POPPOP&#39; Sub Arabic - أغنية أنسيتي ويش فرقعة مترجمة للعربية مع النطق,KG280JlCWSw
2025-04-16T16:13:29Z,212,0,[Pronunciation Guide] poppop – NCT WISH (엔시티 위시) (tutorial/easy lyrics/pronounce/rom/han),CGvgKCiRz1M
2025-04-16T16:07:50Z,67,0,NCT WISH - POPPOP | EASY LYRICS,VhM7fmZrfpE
2025-04-16T15:35:07Z,683,0,ranking nct wish °poppop° album #nctwish #nct #poppop #czennie #nctzen #ranking #kpop #aesncywow,YA0UcIDJhqM
2025-04-16T15:03:48Z,1424,1,NCT WISH(엔시티 위시) - Design Lyrics [영어가사_한국어발음_한국어번역] [Color Coded_Han_Rom_Eng],lzCqL3qeHJo
2025-04-16T15:00:53Z,167149,45,눈만 맞춰도 달아 NCT WISH is so sweet🍭 | MOVE TO PERFORMANCE | NCT WISH &#39;poppop&#39;,RBWd-rBKajA
2025-04-16T15:00:06Z,1376643,1123,[MOVE TO PERFORMANCE] NCT WISH(엔시티 위시) - poppop (4K),f8sRbKyPnZE
2025-04-16T14:45:06Z,7782,3,【日本語字幕】Silly Dance - NCT WISH 日本語訳/和訳/パート分け/歌詞/가사/lyrics,mYJzFukGEmQ
2025-04-16T14:32:53Z,317,5,NCT WISH &quot;POPPOP&quot; DRUM COVER,BomUgW6_0CA
2025-04-16T13:38:33Z,18492,9,NCT WISH 1주년 MD 턴테이블 언방식 !!!,52bY3mK2s-0
2025-04-16T12:21:38Z,15894,14,NCT WISH [POPPOP] 앨범 전종 언박싱🫧 | 팝츄 버전🪽 포토북 버전✨ 쥬얼 케이스 유우시 리쿠 버전💎,Ddrgqlc63ps
2025-04-16T12:00:55Z,585,0,Melt Inside My Pocket - NCT WISH 【日本語字幕/パート分け/カナルビ/歌詞】,PsdfiKDxVHc
2025-04-16T12:01:43Z,870,0,NCT Wish Ekspektasi vs Realita😌,rCBbs5TCtqE
2025-04-16T11:01:00Z,20087,2,【NCT WISH】初日でハーフミリオン達成！第5世代トップと並ぶ日も近い！？音盤ミリオンも狙えそう！&#39;poppop&#39;#KPOP#サランピTV#NCTWISH,cvJuiJS_hMU
2025-04-16T11:01:15Z,19682,2,Why is this so fresh? NCT WISH &#39;Poppop&#39; MV is bursting with summer vibes! #kpop #nctwish #poppop,ipZOM4sl-Ok
2025-04-16T11:01:33Z,10237,0,「NCT WISH-poppop」韓国の反応まとめ！SM史上最優秀チーだね！ #shorts,u-JNltr6IkQ
2025-04-16T10:14:00Z,722,0,NCT WISH - poppop [Instrumental with Backing Vocals],RnaHr8xb8Nk
2025-04-16T10:03:10Z,1003,0,(THAISUB) 1000 - NCT WISH,69kE7S0-OqE
2025-04-16T09:50:01Z,60169,60,위시 미감 언제까지 좋을 거예요🥹..? 엔시티 위시 앨범깡 🫧 NCT WISH poppop Jewel Case Ver.,IDR3bwgFn94
2025-04-16T09:44:29Z,15027,4,[THAISUB] NCT WISH (엔시티 위시) - 1000,u1VA0vHUMb8
2025-04-16T09:10:35Z,8061,1,[UNBOXING] 엔시티 위시 poppop🫧🫧｜NCT WISH 2ND MINI ALBUM &#39;poppop&#39;｜#엔시티위시 #언박싱 #앨범깡 #NCTWISH,id2_jOIMstc
2025-04-16T09:00:30Z,2069,1,NCT WISH Opening in Manila,CvEIQmVBYRU
2025-04-16T06:16:04Z,152,0,Makna 6 Lagu NCT WISH di Mini Album poppop #nctwish #nctwish_wish #nctwish_steady #nct,MtEnsPFyN6k
2025-04-16T05:56:34Z,18224,21,[4K] 250415 YUSHI 유우시(fancam) 1000 | 엔시티위시 NCT WISH poppop in the bubble,_p6Cw5OKNKg
2025-04-16T05:47:45Z,535,0,[THAISUB] NCT WISH (엔시티 위시) - Design,_hpI6sy4ZS8
2025-04-16T05:01:06Z,92133,147,[FULL] 오늘만 여는 캔디 스토어 ✨NCT WISH✨가 팝팝 정희 터트리러 왔어요🍭💚 | 정오의 희망곡 김신영입니다 | MBC 250416 방송,S_bbiwNdyc0
